episode,reward,length,success,cliff_hits,lure_visits,avg_td_error,epsilon
440,742.0,200,0,0,157,8.570249712294892,0.02
441,878.0,200,0,2,186,7.50537343810086,0.02
442,952.0,200,0,0,192,5.7688159825280785,0.02
443,280.0,200,0,0,80,7.167868580624864,0.02
444,141.0,200,0,1,60,8.787094562010916,0.02
445,16.0,200,0,0,36,6.442246991478142,0.02
446,722.0,200,0,2,160,10.327779963723506,0.02
447,745.0,200,0,3,167,10.873172736097645,0.02
448,903.0,200,0,1,187,7.273338705313863,0.02
449,927.0,200,0,1,191,8.78843581898325,0.02
450,873.0,200,0,1,182,11.365598352965874,0.02
451,970.0,200,0,0,195,6.573971516228593,0.02
